"","Unnamed: 0","Unnamed: 0.1","steam_appid","categories","genres","header_image","short_description","name","developer","publisher","price","ccu","score","Tags","Steam Page"
"0","0","0","730","['Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Action","https://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1641233427","Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).","Counter-Strike: Global Offensive","Valve, Hidden Path Entertainment","Valve","0","746122","83","FPS, Shooter, Multiplayer, Competitive, Action, Team Based, eSports, Tactical, First Person, PvP, Online Co Op, Co op, Strategy, Military, War, Difficult, Trading, Realistic, Fast Paced, Moddable","https://store.steampowered.com/app/730"
"1","1","1","570","['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']","Action","https://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1650611880","Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Dota 2","Valve","Valve","0","581058","90","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team Based, Competitive, Action, Online Co Op, PvP, Difficult, Co op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation","https://store.steampowered.com/app/570"
"2","2","2","578080","['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/578080/header.jpg?t=1657765663","Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.","PUBG: BATTLEGROUNDS","KRAFTON, Inc.","KRAFTON, Inc.","0","313078","56","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third Person Shooter, Action, Online Co Op, Tactical, Co op, First Person, Strategy, Early Access, Competitive, Third Person, Team Based, Difficult, Simulation, Stealth","https://store.steampowered.com/app/578080"
"3","3","3","1172470","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1172470/header.jpg?t=1657217209","Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","Apex Legends","Respawn Entertainment","Electronic Arts","0","243474","88","Shooter, Battle Royale, Multiplayer, Action, Team Based, First Person, PvP, Online Co Op, Fast Paced, Strategy","https://store.steampowered.com/app/1172470"
"4","4","4","1446780","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1446780/header.jpg?t=1656665891","Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you’ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.","MONSTER HUNTER RISE","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","5999","123539","87","Action, RPG, Online Co Op, Multiplayer, Hunting, Character Customization, Action RPG, Co op, JRPG, Third Person, Singleplayer, PvE, Fantasy, Anime, Nature, 3D, Dragons, Atmospheric, Ninja, Souls like","https://store.steampowered.com/app/1446780"
"5","5","5","271590","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Action","https://cdn.akamai.steamstatic.com/steam/apps/271590/header.jpg?t=1618856444","Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.","Grand Theft Auto V","Rockstar North","Rockstar Games","2998","119967","96","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First Person, Shooter, Mature, Adventure, Singleplayer, Third Person Shooter, Racing, Co op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable","https://store.steampowered.com/app/271590"
"6","6","6","440","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1592263852","Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","Team Fortress 2","Valve","Valve","0","118412","92","Guns, weapons, ammunition, shoot, men, capture flag, arena","https://store.steampowered.com/app/440"
"7","7","7","346110","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/346110/header.jpg?t=1655137924","Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","ARK: Survival Evolved","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard","2999","111666","70","Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs, Crafting, Building, Adventure, Base Building, Co op, Action, First Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci fi, Indie","https://store.steampowered.com/app/346110"
"8","8","8","252490","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/252490/header.jpg?t=1656003795","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Rust","Facepunch Studios","Facepunch Studios","3999","100865","69","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First Person, Action, FPS, Nudity, Co op, Shooter, Online Co Op, Indie, Early Access, Post apocalyptic, Simulation","https://store.steampowered.com/app/252490"
"9","9","9","431960","['Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Includes level editor']","Casual","https://cdn.akamai.steamstatic.com/steam/apps/431960/header.jpg?t=1637933048","Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!","Wallpaper Engine","Wallpaper Engine Team","Wallpaper Engine Team","399","80218","98","Mature, Utilities, Software, Design, Illustration, Animation, Modeling, Sandbox","https://store.steampowered.com/app/431960"
"10","10","10","230410","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/230410/header.jpg?t=1658079532","Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game","Warframe","Digital Extremes","Digital Extremes","0","75359","69","Guns, weapons, ammunition, creatures, scifi, fire","https://store.steampowered.com/app/230410"
"11","11","11","1506830","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']","Simulation","https://cdn.akamai.steamstatic.com/steam/apps/1506830/header.jpg?t=1653581021","Powered by Football™, EA SPORTS™ FIFA 22 brings the game even closer to the real thing with fundamental gameplay advances and a new season of innovation across every mode.","FIFA 22","EA Canada &amp; EA Romania","Electronic Arts","5999","74509","80","Football (Soccer), Sports, Multiplayer, Controller, Competitive, Simulation, Local Multiplayer, Singleplayer, Online Co Op, Local Co Op, Realistic, PvP, e sports, Family Friendly, Team Based, Immersive Sim, Physics, Co op, Cinematic, Sexual Content","https://store.steampowered.com/app/1506830"
"12","12","12","1203220","['Multi-player', 'PvP', 'Online PvP', 'In-App Purchases', 'Partial Controller Support']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1203220/header.jpg?t=1655953882","NARAKA: BLADEPOINT is an up to 60-player PVP mythical action combat experience with martial arts inspired melee combat, gravity defying mobility, vast arsenals of melee &amp; ranged weapons, legendary customizable heroes with epic abilities - inspired by the legends of the Far East.","NARAKA: BLADEPOINT","24 Entertainment","NetEase Games Montréal","1999","66751","71","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Survival, Third Person, Character Customization, Hack and Slash, Massively Multiplayer, Fighting, Swordplay, Parkour, Adventure, Anime, Mature, Violent, Gore, Free to Play","https://store.steampowered.com/app/1203220"
