,steam_appid,name,tags
0,730,Counter-Strike: Global Offensive,action multiplayer steamachievements fullcontrollersupport steamtradingcards steamworkshop inapppurchases valveanticheatenabled stats remoteplayonphone remoteplayontablet remoteplayontv counterstrike global offensive cs go expands upon the teambased action gameplay that it pioneered when it was launched 19 years ago cs go features new maps characters weapons and game modes and delivers updated versions of the classic cs content dedust2 etc valvehiddenpathentertainment valve fps  shooter  multiplayer  competitive  action  teambased  esports  tactical  firstperson  pvp  onlinecoop  coop  strategy  military  war  difficult  trading  realistic  fastpaced  moddable 
1,570,Dota 2,action multiplayer coop steamtradingcards steamworkshop steamvrcollectibles inapppurchases valveanticheatenabled every day millions of players worldwide enter battle as one of over a hundred dota heroes and no matter if its their 10th hour of play or 1000th theres always something new to discover with regular updates that ensure a constant evolution of gameplay features and heroes dota 2 has taken on a life of its own valve valve freetoplay  moba  multiplayer  strategy  esports  teambased  competitive  action  onlinecoop  pvp  difficult  coop  rts  towerdefense  rpg  fantasy  charactercustomization  replayvalue  actionrpg  simulation 
2,578080,PUBG: BATTLEGROUNDS,action multiplayer pvp onlinepvp stats remoteplayonphone remoteplayontablet play pubg battlegrounds for free land on strategic locations loot weapons and supplies and survive to become the last team standing across various diverse battlegrounds squad up and join the battlegrounds for the original battle royale experience that onlypubg battlegrounds can offer kraftoninc kraftoninc survival  shooter  battleroyale  multiplayer  fps  pvp  thirdpersonshooter  action  onlinecoop  tactical  coop  firstperson  strategy  earlyaccess  competitive  thirdperson  teambased  difficult  simulation  stealth 
3,1172470,Apex Legends,action multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport steamtradingcards inapppurchases apex legends is the awardwinning freetoplay hero shooter from respawn entertainment master an evergrowing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of hero shooter and battle royale respawnentertainment electronicarts shooter  battleroyale  multiplayer  action  teambased  firstperson  pvp  onlinecoop  fastpaced  strategy 
4,1446780,MONSTER HUNTER RISE,action singleplayer multiplayer coop onlinecoop steamachievements fullcontrollersupport steamtradingcards steamcloud rise to the challenge and join the hunt in monster hunter rise the latest installment in the awardwinning and topselling monster hunter series youll become a hunter explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an allnew storyline capcomcoltd capcomcoltd action  rpg  onlinecoop  multiplayer  hunting  charactercustomization  actionrpg  coop  jrpg  thirdperson  singleplayer  pve  fantasy  anime  nature  3d  dragons  atmospheric  ninja  soulslike 
5,271590,Grand Theft Auto V,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport remoteplayonphone remoteplayontablet remoteplayontv grand theft auto v for pc offers players the option to explore the awardwinning world of los santos and blaine county in resolutions of up to 4k and beyond as well as the chance to experience the game running at 60 frames per second rockstarnorth rockstargames openworld  action  multiplayer  crime  automobilesim  thirdperson  firstperson  shooter  mature  adventure  singleplayer  thirdpersonshooter  racing  coop  atmospheric  sandbox  funny  greatsoundtrack  comedy  moddable 
6,440,Team Fortress 2,action multiplayer crossplatformmultiplayer steamachievements steamtradingcards captionsavailable steamworkshop inapppurchases partialcontrollersupport valveanticheatenabled stats includesleveleditor commentaryavailable remoteplayonphone remoteplayontablet nine distinct classes provide a broad range of tactical abilities and personalities constantly updated with new game modes maps equipment and most importantly hats valve valve guns  weapons  ammunition  shoot  men  captureflag  arena 
7,346110,ARK: Survival Evolved,action singleplayer multiplayer mmo coop steamachievements fullcontrollersupport steamworkshop steamcloud valveanticheatenabled includesleveleditor remoteplayontablet stranded on the shores of a mysterious island you must learn to survive use your cunning to kill or tame the primeval creatures roaming the land and encounter other players to survive dominate and escape studiowildcardinstinctgamesefectostudiosvirtualbasementllc studiowildcard openworldsurvivalcraft  survival  multiplayer  openworld  dinosaurs  crafting  building  adventure  basebuilding  coop  action  firstperson  sandbox  massivelymultiplayer  singleplayer  earlyaccess  rpg  dragons  scifi  indie 
8,252490,Rust,action multiplayer mmo pvp onlinepvp coop onlinecoop crossplatformmultiplayer steamachievements steamtradingcards steamworkshop inapppurchases valveanticheatenabled stats remoteplayontablet the only aim in rust is to survive everything wants you to die  the islands wildlife and other inhabitants the environment other survivors do whatever it takes to last another night facepunchstudios facepunchstudios survival  crafting  multiplayer  openworld  openworldsurvivalcraft  building  pvp  sandbox  adventure  firstperson  action  fps  nudity  coop  shooter  onlinecoop  indie  earlyaccess  postapocalyptic  simulation 
9,431960,Wallpaper Engine,casual steamachievements steamtradingcards steamworkshop steamworkshop includesleveleditor use stunning live wallpapers on your desktop animate your own images to create new wallpapers or import videoswebsites and share them on the steam workshop wallpaperengineteam wallpaperengineteam mature  utilities  software  design  illustration  animation  modeling  sandbox 
