,steam_appid,categories,genres,header_image,short_description,meta
0,407530,"['Multi-player', 'Co-op', 'Steam Workshop', 'Partial Controller Support', 'Stats', 'Steam Leaderboards', 'Includes level editor']",Action,https://cdn.akamai.steamstatic.com/steam/apps/407530/header.jpg?t=1596130529,"ARK: Survival of the Fittest is a Multiplayer Online Survival Arena (MOSA) game that pits as many as 72 combatants against one another in the struggle for survival in a harsh, changing environment packed with deadly creatures, “Evolution Events,” and other players.",
0,1032430,['Single-player'],Action,https://cdn.akamai.steamstatic.com/steam/apps/1032430/header.jpg?t=1657139427,"You are Wendigo. A hard-hearted contract killer tasked with annihilating a fanatical cult. With your trusted arsenal at the ready, experience what has been called &quot;The most violent game in VR&quot;. EARLY ACCESS includes RAID, ARENA and SANDBOX modes with a story campaign and much more on the way.",
0,1032430,['Single-player'],Action,https://cdn.akamai.steamstatic.com/steam/apps/1032430/header.jpg?t=1657139427,"You are Wendigo. A hard-hearted contract killer tasked with annihilating a fanatical cult. With your trusted arsenal at the ready, experience what has been called &quot;The most violent game in VR&quot;. EARLY ACCESS includes RAID, ARENA and SANDBOX modes with a story campaign and much more on the way.",
0,258970,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/258970/header.jpg?t=1568335399,The classic Gauntlet 4-player co-op action gameplay returns in a completely new experience! Battle the endless hordes of foes as you and your friends fight for treasure and glory via both local and online co-op multiplayer. Invade the Darkness!,
0,1088790,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1088790/header.jpg?t=1655904909,A unique and deeply engaging political/military strategic simulation from the creator of Plague Inc. Balance competing civilian and military priorities and deal with a deadly insurgency in order to stabilise a war-torn country.,
0,431600,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']",Racing,https://cdn.akamai.steamstatic.com/steam/apps/431600/header.jpg?t=1572643369,"AUTOMOBILISTA places you in the driving seat of an advanced racing simulator, featuring elite brazilian racing series along with a wide range of racing vehicles and international tracks for a uniquely diverse motorsports experience.",
0,503560,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/503560/header.jpg?t=1655109187,"Game about the difficult work of people that manage emergency lines and services. Answer incoming calls and react properly - give first aid instructions, advise, dispatch correct number of firemen / police / ambulances, or sometimes - just ignore the call. Play on ANY CITY in the world!",68
0,1030210,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Tablet']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1030210/header.jpg?t=1628627346,"In Torchlight III, Novastraia is again under threat of invasion and it’s up to you to defend against the Netherim and its allies. Gather your wits and brave the frontier to find fame, glory, and new adventures!",
0,1097420,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1097420/header.jpg?t=1605081602,"No-brainer Heroes is a pixel style semi-idle RPG game. As a lord, you need to run your town, recruit your heroes, defeat level monsters, solve random events, collect powerful treasures, and finally defeat evil dragons.",
0,574720,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/574720/header.jpg?t=1619009132,"Manage your workers, stations, machines and create awesome stuff as your little big workshop grows into your dream factory!",77
0,1970980,"['Single-player', 'Steam Achievements', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1970980/header.jpg?t=1657657305,"Lead a Roman expeditionary force into the heart of Ancient Britain! Recruit, promote, and upgrade your legionaries while constructing a series of fortified marching camps. Use Roman tactics and strategies to conquer the entire island and become Warlord!",
0,594330,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/594330/header.jpg?t=1607559678,"Visage is a first-person psychological horror game. Explore a mysterious ever-changing house in a slow-paced, atmospheric world that combines both uncannily comforting and horrifyingly realistic environments, and enjoy a genuinely terrifying experience.",81
0,1291010,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1291010/header.jpg?t=1651768209,"Warpips is the ultimate quick to learn but amazingly deep tug-of-war strategy game. Deploy the right composition of soldiers, tanks, helicopters and planes in this tight, streamlined strategy-focused war game. Compose the best army, research the right tech; overwhelm your enemy!",
0,1380420,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1380420/header.jpg?t=1643359031,"Grow your own worlds and nurture a deep natural connection with everything they hold. See your actions change the world for better! Bring the Evertree back to life in this breathtaking world-crafting sandbox, with life management and adventure elements.",78
0,1277940,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1277940/header.jpg?t=1651692709,"Kinkoi: Golden Loveriche is a Japanese-style visual novel produced by Saga Planets, a Japanese developer of romance VNs. The game won numerous awards in the year of its release in Japan for its art, music, characters, and story.",
0,834740,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/834740/header.jpg?t=1649344185,"Circle Empires is a fresh take on the RTS genre, featuring a fast-paced approach to conquering the world.",
0,1375740,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1375740/header.jpg?t=1616182572,"2D BATTLE ROYALE packed into an intense 3-5 minute experience. No lobbies, no lengthy drop sequences. In surviv.io, you're always in the fight!",
0,426000,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/426000/header.jpg?t=1645746141,"In HunieCam Studio players take control of a sleazy cam girl operation. Rake in stacks of filthy internet money and attract as many disgusting fans as you can in this fast paced, click happy and thoroughly perverted take on the business tycoon / management sim genre!",
0,377360,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/377360/header.jpg?t=1611957419,"Based on a true story, Western Press is the most historically accurate frontier dueling game available for PC and Mac. Probably. Up to 16 players (or bots) compete in a tournament of 1v1 sprints to press a random string of ten buttons the fastest.",
